NEURON;SYNAPSE;GAUSS-RAD;LOG-FACTOR;VOTE-PARAM;HIT
34x18;32;3;8;3;0.4976744186
34x18;32;3;10;2;0.4976744186
34x18;32;3;10;2.5;0.4860465116
34x18;32;3;10;3;0.4906976744
34x18;32;5;2;2;0.6488372093
34x18;32;5;2;2.5;0.6441860465
34x18;32;5;2;3;0.6395348837
34x18;32;5;4;2;0.6813953488
34x18;32;5;4;2.5;0.6976744186
34x18;32;5;4;3;0.6860465116
34x18;32;5;6;2;0.7255813953
34x18;32;5;6;2.5;0.7279069767
34x18;32;5;6;3;0.7255813953
34x18;32;5;8;2;0.7046511628
34x18;32;5;8;2.5;0.7186046512
34x18;32;5;8;3;0.711627907
34x18;32;5;10;2;0.7046511628
34x18;32;5;10;2.5;0.7162790698
34x18;32;5;10;3;0.7209302326
34x18;32;7;2;2;0.7023255814
34x18;32;7;2;2.5;0.6953488372
34x18;32;7;2;3;0.7186046512
34x18;32;7;4;2;0.7372093023
34x18;32;7;4;2.5;0.7372093023
34x18;32;7;4;3;0.7372093023
34x18;32;7;6;2;0.7604651163
34x18;32;7;6;2.5;0.7581395349
34x18;32;7;6;3;0.7511627907
34x18;32;7;8;2;0.7674418605
34x18;32;7;8;2.5;0.7651162791
34x18;32;7;8;3;0.7837209302
34x18;32;7;10;2;0.7581395349
34x18;32;7;10;2.5;0.7697674419
34x18;32;7;10;3;0.7720930233
34x18;32;9;2;2;0.676744186
34x18;32;9;2;2.5;0.6558139535
34x18;32;9;2;3;0.6511627907
34x18;32;9;4;2;0.7069767442
34x18;32;9;4;2.5;0.7093023256
34x18;32;9;4;3;0.711627907
34x18;32;9;6;2;0.7302325581
34x18;32;9;6;2.5;0.7441860465
34x18;32;9;6;3;0.7325581395
34x18;32;9;8;2;0.7465116279
34x18;32;9;8;2.5;0.7441860465
34x18;32;9;8;3;0.7348837209
34x18;32;9;10;2;0.7534883721
34x18;32;9;10;2.5;0.7418604651
34x18;32;9;10;3;0.7348837209
34x18;64;1;2;2;0.1720930233
34x18;64;1;2;2.5;0.1790697674
34x18;64;1;2;3;0.1720930233
34x18;64;1;4;2;0.211627907
34x18;64;1;4;2.5;0.223255814
34x18;64;1;4;3;0.2372093023
34x18;64;1;6;2;0.223255814
34x18;64;1;6;2.5;0.2209302326
34x18;64;1;6;3;0.2162790698
34x18;64;1;8;2;0.2465116279
34x18;64;1;8;2.5;0.2488372093
34x18;64;1;8;3;0.2372093023
34x18;64;1;10;2;0.2697674419
34x18;64;1;10;2.5;0.2651162791
34x18;64;1;10;3;0.2651162791
34x18;64;3;2;2;0.8255813953
34x18;64;3;2;2.5;0.8255813953
34x18;64;3;2;3;0.8255813953
34x18;64;3;4;2;0.8186046512
34x18;64;3;4;2.5;0.8325581395
34x18;64;3;4;3;0.8255813953
34x18;64;3;6;2;0.8395348837
34x18;64;3;6;2.5;0.8209302326
34x18;64;3;6;3;0.8209302326
34x18;64;3;8;2;0.8302325581
34x18;64;3;8;2.5;0.8186046512
34x18;64;3;8;3;0.8209302326
34x18;64;3;10;2;0.8139534884
34x18;64;3;10;2.5;0.8279069767
34x18;64;3;10;3;0.8348837209
34x18;64;5;2;2;0.9162790698
34x18;64;5;2;2.5;0.9093023256
34x18;64;5;2;3;0.9162790698
34x18;64;5;4;2;0.9093023256
34x18;64;5;4;2.5;0.911627907
34x18;64;5;4;3;0.9162790698
34x18;64;5;6;2;0.9139534884
